Product Roadmap
Feature,Goal,Effort,Feature Description,Priority
Restaurant Catalogue,"Find the perfect restaurant for occasion ,Deals within budget,Confidence in purchases",High,Allows users to browse through selection of Restaurants available through Spayces,P1 - Must Have
"View Restaurant menu, details, availability , etc","Confidence in purchases,Find the best option",High,Allows users to view the Restaurant Menu on their mobile devices,P1 - Must Have
Search,Find desired Restaurant,Medium,Allows users to search for something specific and autocomplete/suggestions,P1 - Must Have
Restaurant and Menu images,"Confidence in purchases,Find the best option",Low,High quality photos of restaurant and food that help users gauge what the Restaurant is like,P1 - Must Have
Restaurant descriptions,"Confidence in purchases,Find the perfect option",Low,Details details/specs of the Food to help users gauge what the Menu is like,P1 - Must Have
Sales/Deals,"Deals within budget,Find the Special Offers",Medium,Displays ongoing deals and special offers,P1 - Must Have
Saved/Favorites list,"Confidence in purchases,Find the perfect Restaurant Deals within budget",Medium,Allows users to manage desired Restaurant and to help make a decision on final purchases,P1 - Must Have
Customer Service,"Deals within budget,Confidence in purchases,Find the perfect Restaurant",Medium,Allows users to contact Spayces reps for assistance with their reservation experience,P1 - Must Have
Sign In/Register,"Deals within budget,Confidence in purchases,Find the perfect Restaurant",Low,Allows users to create an account and for Spayces to provide a more personalized experience,P1 - Must Have
Checkout,Find the perfect Restaurant ,Medium,Allows users to make purchases through Spayces’s app,P1 - Must Have
Filters & Sort by,"Find the perfect option,Deals within budget",Medium,Filters to help users narrow results by their preferences,P2 - Nice to Have
Reviews,"Confidence in purchases,Find the perfect restaurant,Deals within budget",Medium,Allows users to write/read reviews to learn what people think about a restuarant,P2 - Nice to Have
In-House Availability,"Find the perfect restaurant,Confidence in purchases",Medium,Informs the user if the food is available at a restaurant,P2 - Nice to Have
Account Onboarding,"Find the perfect restaurant,Deals within budget",Medium,Helps Spayces learn the preferences of the user to suggest related offers and restaurants,P2 - Nice to Have
Price Tracker,"Find the perfect restaurant ,Deals within budget,Confidence in purchases",High,Allows users to view the price of selected items,P2 - Nice to Have
Notifications,"Deals within budget,Find the perfect restaurant",Low,Keeps users up-to-date on latest offers or other updates,P2 - Nice to Have
Menu Finder,"Find the perfect Menu, Deals within budget",High,Asks the users questions about what they are looking for to help suggest top restuarants that fit their preferences.,P3 - Surprising & Delightful
Guest boking,"Confidence in purchases,Find the best option",High,Allows user to book multiple reservations,P3 - Surprising & Delightful
Special Request,"Confidence in purchases,Find the perfect option",Medium,Allows users to make special requests ahead of the occassion,P3 - Surprising & Delightful
